No;Title;ISSN;Branches;Date;
;;;"Математические, статистические и инструментальные методы в экономике (экономические науки)
Региональная и отраслевая экономика (экономические науки)";с 25.04.2023;
11.;"Ars Administrandi
(перевод наименование на государственный язык Российской Федерации: Искусство управления)";2218-9173;"23.00.01 – Теория и философия политики, история и методология политической науки (политические науки),
23.00.05 – Политическая регионалистика. Этнополитика (политические науки)";"с 28.12.2018
по 16.10.2022";
;;;5.5.2. Политические институты, процессы, технологии (политические науки);с 01.022022;
12.;Art Logos («Искусство слова»);2541-9803;"5.9.1. Русская литература и литературы народов Российской Федерации (филологические науки)
5.9.3. Теория литературы (филологические науки)
5.9.5. Русский язык. Языки народов России (филологические науки)
5.9.8. Теоретическая, прикладная и сравнительно-сопоставительная лингвистика (филологические науки)";с 29.03.2023;
13.;"Baikal Research Journal
(перевод наименование на государственный язык Российской Федерации: Байкальский научный журнал)";2411-6262;"08.00.05 – Экономика и управление народным хозяйством (по отраслям и сферам деятельности) (экономические науки),
12.00.08 – Уголовное право и криминология; уголовно- исполнительное право (юридические науки),
19.00.05 – Социальная психология (психологические науки)";"с 28.12.2018
по 16.10.2022";
;;;"5.2.4. Финансы (экономические науки),
5.3.1. Общая психология, психология личности, история психологии (психологические науки)";с 01.02.2022;
;;;"5.1.4. Уголовно-правовые науки (юридические науки),
5.2.3. Региональная и отраслевая экономика (экономические науки)";с 08.02.2023;
14.;"BENEFICIUM
(перевод наименование на государственный язык Российской Федерации: БЕНЕФИЦИУМ)";2713-1629;"08.00.05 – Экономика и управление народным хозяйством (по отраслям
и сферам деятельности) (экономические науки)";"с 25.12.2020
по 16.10.2022";
;;;"5.2.3. Региональная и отраслевая экономика (экономические науки),
5.2.6. Менеджмент (экономические науки)";с 21.02.2023;
15.;"Biological Communications
(перевод наименование на государственный язык Российской Федерации: Биологические сообщения)
(До 09.08.2018 г. наименование в Перечне Вестник Санкт- Петербургского университета. Серия 3. Биология
ISSN 1025-8604)";2542-2154;"– Молекулярная генетика (биологические науки),
– Биоинженерия (биологические науки)";"с 26.03.2019
по 16.10.2022";
;;;"Биофизика (биологические науки), Молекулярная биология (биологические науки),
Биохимия (биологические науки), Физиология человека и животных (биологические науки),
Генетика (биологические науки), Математическая            биология, биоинформатика (биологические науки),
Ботаника (биологические науки), Зоология (биологические науки), Ихтиология (биологические науки),
Энтомология (биологические науки),
1.5.16. Гидробиология (биологические науки),
1.5.19. Почвоведение (биологические науки),
Физиология и биохимия растений (биологические науки), Клеточная биология (биологические науки), Биология развития, эмбриология (биологические науки)";с 01.02.2022;
16.;"Biomedical Chemistry: Research and Methods
(перевод наименование на государственный язык Российской Федерации: Биомедицинская химия:
исследования и методы)";2618-7531;"1.5.4. Биохимия (биологические науки),
1.5.4. Биохимия (медицинские науки)";с 09.02.2022;
17.;Biomedical Photonics;2413-9432;"1.3.19. Лазерная физика (физико- математические науки),
3.1.6. Онкология, лучевая терапия (медицинские науки),
3.1.9. Хирургия (медицинские науки)";с 01.02.2022;
18.;"BULLETIN OF THE INTERNATIONAL CENTRE OF ART AND EDUCATION
(перевод названия на";2618-6942;"17.00.02 – Музыкальное искусство (искусствоведение),
17.00.09 – Теория и история искусства (искусствоведение)";"с 09.12.2020
по 16.10.2022";
;"государственный язык Российской Федерации: БЮЛЛЕТЕНЬ
МЕЖДУНАРОДНОГО ЦЕНТРА
«ИСКУССТВО И ОБРАЗОВАНИЕ»)";;"Общая педагогика, история педагогики и образования (педагогические науки),
Теория и методика обучения и воспитания (по областям и уровням образования) (педагогические науки),
5.8.7. Методология и технология профессионального образования (педагогические науки)";с 01.02.2022;
;;;"5.10.1. Теория и история культуры, искусства (искусствоведение),
5.10.3. Виды искусства (с указанием конкретного искусства) (искусствоведение)";с 27.04.2022;
19.;"Cardioсоматика (""Кардиосоматика"")";2221-7185;14.01.13 – Лучевая диагностика, лучевая терапия (медицинские науки);"с 28.12.2018
по 16.10.2022";
;;;"3.1.18. Внутренние болезни (медицинские науки),
3.1.20. Кардиология (медицинские науки)";с 01.02.2022;
20.;"Caucasian Science Bridge
(перевод названия на государственный язык Росиской Федерации:
Кавказский научный мост)";2658-5820;5.4.4. Социальная структура, социальные институты и процессы (социологические науки), Социология культуры (социологические науки), Социология управления (социологические науки);с 20.07.2022;
21.;"CATHEDRA – КАФЕДРА.
Стоматологическое образование";2222-2154;14.03.09 – Клиническая иммунология, аллергология (медицинские науки);"с 28.12.2018
по 16.10.2022";
;;;"3.1.7. Стоматология (медицинские науки),
3.3.6. Фармакология, клиническая фармакология (фармацевтические науки)";с 01.02.2022;
